Epoch [1/40], Train Loss Final: 107.47947692871094
Epoch [2/40], Train Loss Final: 106.58119201660156
Epoch [3/40], Train Loss Final: 98.36287689208984
Epoch [4/40], Train Loss Final: 92.62252807617188
Epoch [5/40], Train Loss Final: 102.67794799804688
Epoch [6/40], Train Loss Final: 106.1235122680664
Epoch [7/40], Train Loss Final: 99.91219329833984
Epoch [8/40], Train Loss Final: 100.19153594970703
Epoch [9/40], Train Loss Final: 105.55364227294922
Epoch [10/40], Train Loss Final: 97.51778411865234
Epoch [11/40], Train Loss Final: 102.4482650756836
Epoch [12/40], Train Loss Final: 104.99781799316406
Epoch [13/40], Train Loss Final: 102.94252014160156
Epoch [14/40], Train Loss Final: 97.11539459228516
Epoch [15/40], Train Loss Final: 103.7918701171875
Epoch [16/40], Train Loss Final: 92.93360137939453
Epoch [17/40], Train Loss Final: 104.4560546875
Epoch [18/40], Train Loss Final: 98.24115753173828
Epoch [19/40], Train Loss Final: 111.05708312988281
Epoch [20/40], Train Loss Final: 100.52747344970703
Epoch [21/40], Train Loss Final: 100.91776275634766
Epoch [22/40], Train Loss Final: 102.8369140625
Epoch [23/40], Train Loss Final: 101.87602996826172
Epoch [24/40], Train Loss Final: 105.73029327392578
Epoch [25/40], Train Loss Final: 99.69640350341797
Epoch [26/40], Train Loss Final: 99.58556365966797
Epoch [27/40], Train Loss Final: 101.72518920898438
Epoch [28/40], Train Loss Final: 101.34050750732422
Epoch [29/40], Train Loss Final: 108.54542541503906
Epoch [30/40], Train Loss Final: 96.69679260253906
Epoch [31/40], Train Loss Final: 104.23472595214844
Epoch [32/40], Train Loss Final: 98.41011810302734
Epoch [33/40], Train Loss Final: 101.98017883300781
Epoch [34/40], Train Loss Final: 101.49163818359375
Epoch [35/40], Train Loss Final: 95.60619354248047
Epoch [36/40], Train Loss Final: 99.5160140991211
Epoch [37/40], Train Loss Final: 101.29820251464844
Epoch [38/40], Train Loss Final: 102.5529556274414
Epoch [39/40], Train Loss Final: 109.2441177368164
Epoch [40/40], Train Loss Final: 101.43099212646484
